Titre - Prompt IA;ID OBJ Prompt IA;Code Prompt IA;Règne;Galerie;Type Média;Usage Prompt;Prompt Maître;Contraintes Obligatoires;Nombre Propositions;Validation Humaine Obligatoire;Publication Automatique;Actif;Ordre Affichage;Validation DSE
Drapeau pays aperçu;ID-OBJ-PRM-000012;DRAPEAU-PAYS-APERCU;GEOGRAPHIE;DRAPEAUX;IMAGE;GENERATION;Créer un aperçu propre du drapeau de {PAYS}, proportions et couleurs conformes à la référence officielle validée, fond neutre, haute définition, sans texte ajouté.;Utiliser uniquement les données officielles validées | aucune invention | ajouter le filigrane après génération et non dans le prompt;3;Oui;Non;Oui;120;Non
Carte pays;ID-OBJ-PRM-000013;CARTE-PAYS;GEOGRAPHIE;CARTES;IMAGE-VECTORIELLE;GENERATION;Créer une carte claire de {PAYS}, limites géographiques selon la source officielle validée, style institutionnel, fond transparent, sans texte sauf validation spécifique.;Frontières sensibles à contrôler | source officielle obligatoire | aucune frontière inventée;3;Oui;Non;Oui;130;Non
Capitale vue générale;ID-OBJ-PRM-000014;CAPITALE-VUE-GENERALE;GEOGRAPHIE;CAPITALES;IMAGE;GENERATION;Créer une vue réaliste et représentative de {CAPITALE}, architecture paysages et ambiance cohérents avec {PAYS}, lumière naturelle, haute définition, sans texte.;Éviter les monuments inexistants | contrôler lieu pays et architecture | aucune marque;4;Oui;Non;Oui;140;Non
Ville monument;ID-OBJ-PRM-000015;VILLE-MONUMENT;GEOGRAPHIE;MONUMENTS;IMAGE;GENERATION;Créer une représentation réaliste de {MONUMENT} situé à {VILLE} dans {PAYS}, architecture fidèle, environnement cohérent, haute définition, sans texte.;Contrôler l’existence et la localisation | aucune modification architecturale majeure | droit de représentation à vérifier;4;Oui;Non;Oui;150;Non
Région paysage;ID-OBJ-PRM-000016;REGION-PAYSAGE;GEOGRAPHIE;PAYSAGES;IMAGE;GENERATION;Créer un paysage réaliste caractéristique de {REGION}, relief végétation climat et saison cohérents, composition documentaire, haute définition, sans texte.;Caractéristiques régionales à vérifier | aucune généralisation trompeuse;4;Oui;Non;Oui;160;Non
Astronomie vue;ID-OBJ-PRM-000017;ASTRONOMIE-VUE;ASTRONOMIE;VUE-ASTRONOMIQUE;IMAGE;GENERATION;Créer une visualisation scientifique de {SUJET}, proportions et couleurs plausibles, environnement spatial cohérent, légende absente, haute définition.;Distinguer représentation artistique et donnée scientifique | contrôle scientifique obligatoire;4;Oui;Non;Oui;170;Non
Patrimoine architecture;ID-OBJ-PRM-000018;PATRIMOINE-ARCHITECTURE;PATRIMOINE;ARCHITECTURE;IMAGE;GENERATION;Créer une représentation réaliste de {SUJET}, architecture matériaux époque et environnement cohérents, cadrage documentaire, haute définition, sans texte.;Contrôler époque localisation et état du monument | droits et restrictions à vérifier;4;Oui;Non;Oui;180;Non
Histoire reconstitution;ID-OBJ-PRM-000019;HISTOIRE-RECONSTITUTION;HISTOIRE;EVENEMENTS-HISTORIQUES;IMAGE;GENERATION;Créer une reconstitution éducative de {SUJET}, époque vêtements objets architecture et contexte cohérents, style documentaire, sans texte.;Indiquer en métadonnées qu’il s’agit d’une reconstitution IA | contrôler les sources historiques;4;Oui;Non;Oui;190;Non
Schéma pédagogique;ID-OBJ-PRM-000020;SCHEMA-PEDAGOGIQUE;EDUCATION;SCHEMAS;INFOGRAPHIE;GENERATION;Créer un schéma pédagogique clair sur {SUJET}, structure visuelle simple, étapes logiques, couleurs lisibles, fond clair.;Toute donnée et tout texte doivent être contrôlés | aucune affirmation non sourcée;3;Oui;Non;Oui;200;Non
Fiche pédagogique;ID-OBJ-PRM-000021;FICHE-PEDAGOGIQUE;EDUCATION;FICHES-PEDAGOGIQUES;DOCUMENT-PDF;GENERATION;Préparer une fiche pédagogique structurée sur {SUJET} avec objectifs résumé vocabulaire points clés et questions de contrôle.;Contrôle humain obligatoire | sources nécessaires | langage adapté au public défini;2;Oui;Non;Oui;210;Non
Vidéo documentaire;ID-OBJ-PRM-000022;VIDEO-DOCUMENTAIRE;EDUCATION;PRESENTATIONS;VIDEO;GENERATION;Créer un scénario vidéo documentaire court sur {SUJET}, séquences visuelles cohérentes, narration factuelle, rythme pédagogique, sans marque tierce.;Validation du scénario avant génération | sources obligatoires | aucune publication automatique;2;Oui;Non;Oui;220;Non
Audio ambiance naturelle;ID-OBJ-PRM-000023;AUDIO-AMBIANCE-NATURELLE;ENVIRONNEMENT;HABITAT;AUDIO;GENERATION;Créer une ambiance sonore naturelle cohérente avec {HABITAT}, durée {DUREE}, sans voix ni musique ajoutée.;Aucune imitation trompeuse d’enregistrement réel | préciser génération IA en métadonnées;3;Oui;Non;Oui;230;Non
Narration pédagogique;ID-OBJ-PRM-000024;NARRATION-PEDAGOGIQUE;EDUCATION;PRESENTATIONS;VOIX-NARRATION;GENERATION;Créer une narration claire et neutre à partir du texte validé sur {SUJET}, débit adapté, prononciation contrôlée.;Texte validé obligatoire | aucune imitation de personne réelle | langue et voix autorisées;2;Oui;Non;Oui;240;Non
Aperçu filigrané;ID-OBJ-PRM-000025;APERCU-FILIGRANE;MEDIA;APERCUS-PROTEGES;APERCU-PROTEGE;TRANSFORMATION;Créer une version d’aperçu de {MEDIA_SOURCE}, dimensions réduites, compression adaptée, filigrane DSE visible et répété, conservation d’une lisibilité suffisante.;Ne jamais modifier l’original | filigrane obligatoire | aucun lien public vers l’original;1;Oui;Non;Oui;250;Non
Version signée DSE;ID-OBJ-PRM-000026;VERSION-SIGNEE-DSE;MEDIA;VERSIONS-CLIENT;IMAGE;TRANSFORMATION;Créer une version signée de {MEDIA_SOURCE} avec la signature DSE validée, position {POSITION_SIGNATURE}, opacité {OPACITE_SIGNATURE}.;Conserver l’original intact | utiliser uniquement la signature officielle validée;1;Oui;Non;Oui;260;Non
Version client;ID-OBJ-PRM-000027;VERSION-CLIENT;MEDIA;VERSIONS-CLIENT;VERSION-CLIENT;TRANSFORMATION;Créer une copie personnalisée de {MEDIA_SOURCE} avec {NOM_CLIENT}, {LOGO_CLIENT}, référence de licence {ID_LICENCE} et paramètres validés.;Commande et licence validées obligatoires | ne jamais écraser l’original | journaliser la production;1;Oui;Non;Oui;270;Non
Contrôle qualité IA;ID-OBJ-PRM-000028;CONTROLE-QUALITE-IA;MEDIA;APERCUS-PROTEGES;DOCUMENT-PDF;CONTROLE;Analyser {MEDIA_SOURCE} pour vérifier cohérence avec {SUJET}, qualité technique, artefacts, texte incorrect, éléments hors sujet et risques de publication.;Ne pas publier | produire uniquement un rapport | validation humaine obligatoire;1;Oui;Non;Oui;280;Non
Nouvelle proposition;ID-OBJ-PRM-000029;NOUVELLE-PROPOSITION;MEDIA;APERCUS-PROTEGES;IMAGE;REGENERATION;Créer une nouvelle proposition pour {SUJET} en conservant les contraintes validées et en variant composition cadrage lumière et ambiance.;Ne pas réutiliser la proposition refusée | conserver la traçabilité | aucune publication automatique;4;Oui;Non;Oui;290;Non
Non déterminé;ID-OBJ-PRM-000030;NON-DETERMINE;NON-DETERMINE;NON-DETERMINE;NON-DETERMINE;CONTROLE;Prompt temporaire utilisé lorsqu’aucun modèle validé ne correspond au besoin.;Aucune génération autorisée avant classification et validation;0;Oui;Non;Non;990;Non
